Year,Week,VHI,Province_ID,Province_Name
1989,13,39.28,21,Хмельницька
1989,14,39.53,21,Хмельницька
1989,15,39.29,21,Хмельницька
1989,16,41.15,21,Хмельницька
1989,17,45.49,21,Хмельницька
1989,18,50.59,21,Хмельницька
1989,19,54.54,21,Хмельницька
1989,20,58.26,21,Хмельницька
1989,21,58.45,21,Хмельницька
1989,22,57.48,21,Хмельницька
1989,23,57.92,21,Хмельницька
1989,24,57.59,21,Хмельницька
1989,25,58.83,21,Хмельницька
1989,26,61.1,21,Хмельницька
1989,27,61.13,21,Хмельницька
1989,28,59.85,21,Хмельницька
1989,29,58.35,21,Хмельницька
1989,30,56.56,21,Хмельницька
1989,31,53.46,21,Хмельницька
1989,32,50.95,21,Хмельницька
1989,33,51.63,21,Хмельницька
1989,34,53.33,21,Хмельницька
1989,35,54.67,21,Хмельницька
1989,36,52.76,21,Хмельницька
1989,37,48.64,21,Хмельницька
1989,38,47.0,21,Хмельницька
1989,39,45.77,21,Хмельницька
1989,40,41.04,21,Хмельницька
1989,41,36.94,21,Хмельницька
1989,42,37.69,21,Хмельницька
1989,43,38.89,21,Хмельницька
1989,44,37.48,21,Хмельницька
1989,45,35.37,21,Хмельницька
1989,46,34.66,21,Хмельницька
1989,47,35.47,21,Хмельницька
1989,48,35.47,21,Хмельницька
1989,49,35.83,21,Хмельницька
1989,50,35.37,21,Хмельницька
1989,51,34.29,21,Хмельницька
1989,52,36.94,21,Хмельницька
1990,1,38.69,21,Хмельницька
1990,2,40.03,21,Хмельницька
1990,3,41.88,21,Хмельницька
1990,4,43.92,21,Хмельницька
1990,5,44.26,21,Хмельницька
1990,6,42.97,21,Хмельницька
1990,7,42.36,21,Хмельницька
1990,8,42.23,21,Хмельницька
1990,9,42.13,21,Хмельницька
1990,10,69.08,21,Хмельницька
1990,11,43.87,21,Хмельницька
1990,12,45.02,21,Хмельницька
1990,13,44.61,21,Хмельницька
1990,14,42.86,21,Хмельницька
1990,15,43.23,21,Хмельницька
1990,16,48.22,21,Хмельницька
1990,17,54.25,21,Хмельницька
1990,18,57.61,21,Хмельницька
1990,19,59.3,21,Хмельницька
1990,20,61.44,21,Хмельницька
1990,21,62.54,21,Хмельницька
1990,22,60.66,21,Хмельницька
1990,23,57.84,21,Хмельницька
1990,24,55.54,21,Хмельницька
1990,25,51.73,21,Хмельницька
1990,26,48.85,21,Хмельницька
1990,27,47.57,21,Хмельницька
1990,28,47.74,21,Хмельницька
1990,29,46.48,21,Хмельницька
1990,30,44.17,21,Хмельницька
1990,31,39.5,21,Хмельницька
1990,32,34.78,21,Хмельницька
1990,33,32.32,21,Хмельницька
1990,34,32.56,21,Хмельницька
1990,35,33.64,21,Хмельницька
1990,36,34.51,21,Хмельницька
1990,37,33.45,21,Хмельницька
1990,38,31.82,21,Хмельницька
1990,39,29.8,21,Хмельницька
1990,40,27.27,21,Хмельницька
1990,41,22.95,21,Хмельницька
1990,42,20.9,21,Хмельницька
1990,43,24.69,21,Хмельницька
1990,44,24.05,21,Хмельницька
1990,45,20.96,21,Хмельницька
1990,46,21.01,21,Хмельницька
1990,47,22.51,21,Хмельницька
1990,48,23.48,21,Хмельницька
1990,49,22.77,21,Хмельницька
1990,50,21.0,21,Хмельницька
1990,51,20.7,21,Хмельницька
1990,52,23.19,21,Хмельницька
1991,1,27.59,21,Хмельницька
1991,2,31.77,21,Хмельницька
1991,3,35.51,21,Хмельницька
1991,4,39.04,21,Хмельницька
